id,location,technology,unit_capacity,initial_units
Biomass 01,bus012,Biomass 01,3.0,1
Biomass 02,bus012,Biomass 02,3.0,1
Biomass 03,bus103,Biomass 03,1.2,1
Biomass 04,bus103,Biomass 04,1.2,1
Biomass 05,bus012,Biomass 05,1.3,1
Biomass 06,bus012,Biomass 06,1.3,1
Biomass 07,bus012,Biomass 07,3.0,1
Biomass 08,bus012,Biomass 08,1.35,1
Biomass 09,bus012,Biomass 09,1.35,1
Biomass 10,bus012,Biomass 10,1.35,1
Biomass 11,bus012,Biomass 11,0.71,1
Biomass 12,bus012,Biomass 12,0.71,1
Biomass 13,bus012,Biomass 13,0.71,1
Biomass 14,bus012,Biomass 14,1.57,1
Biomass 15,bus012,Biomass 15,0.65,1
Biomass 16,bus012,Biomass 16,0.65,1
Biomass 17,bus012,Biomass 17,0.65,1
Biomass 18,bus012,Biomass 18,0.65,1
Biomass 19,bus012,Biomass 19,0.45,1
Biomass 20,bus012,Biomass 20,0.45,1
Biomass 21,bus012,Biomass 21,0.45,1
Biomass 22,bus012,Biomass 22,0.45,1
Biomass 23,bus012,Biomass 23,1.0,1
Biomass 24,bus012,Biomass 24,1.0,1
Biomass 25,bus012,Biomass 25,1.0,1
Biomass 26,bus012,Biomass 26,1.9,1
Biomass 27,bus012,Biomass 27,1.9,1
Biomass 28,bus012,Biomass 28,1.9,1
Biomass 29,bus012,Biomass 29,1.9,1
Biomass 30,bus012,Biomass 30,1.9,1
Biomass 31,bus012,Biomass 31,1.9,1
Biomass 32,bus012,Biomass 32,1.9,1
Biomass 33,bus103,Biomass 33,1.6,1
Biomass 34,bus103,Biomass 34,1.6,1
Biomass 35,bus103,Biomass 35,1.6,1
Biomass 36,bus103,Biomass 36,1.6,1
Biomass 37,bus103,Biomass 37,0.95,1
Biomass 38,bus103,Biomass 38,0.95,1
Biomass 39,bus103,Biomass 39,0.95,1
Biomass 40,bus103,Biomass 40,0.95,1
Biomass 41,bus103,Biomass 41,1.88,1
Biomass 42,bus103,Biomass 42,1.88,1
Biomass 43,bus103,Biomass 43,3.75,1
